Min frequency : 0.05
Max frequency : 0.4
Nb of frequencies : 500

S0 ; A0 ; SH0
5.5709E0 ; 3.0032E0 ; 3.2557E0
5.5704E0 ; 3.0056E0 ; 3.2557E0
5.5699E0 ; 3.008E0 ; 3.2557E0
5.5694E0 ; 3.0103E0 ; 3.2557E0
5.569E0 ; 3.0126E0 ; 3.2557E0
5.5685E0 ; 3.0149E0 ; 3.2557E0
5.568E0 ; 3.0172E0 ; 3.2557E0
5.5675E0 ; 3.0195E0 ; 3.2557E0
5.567E0 ; 3.0217E0 ; 3.2557E0
5.5665E0 ; 3.0239E0 ; 3.2557E0
5.5659E0 ; 3.0262E0 ; 3.2557E0
5.5654E0 ; 3.0284E0 ; 3.2557E0
5.5649E0 ; 3.0305E0 ; 3.2557E0
5.5644E0 ; 3.0327E0 ; 3.2557E0
5.5639E0 ; 3.0348E0 ; 3.2557E0
5.5634E0 ; 3.037E0 ; 3.2557E0
5.5629E0 ; 3.0391E0 ; 3.2557E0
5.5623E0 ; 3.0412E0 ; 3.2557E0
5.5618E0 ; 3.0433E0 ; 3.2557E0
5.5613E0 ; 3.0453E0 ; 3.2557E0
5.5607E0 ; 3.0474E0 ; 3.2557E0
5.5602E0 ; 3.0494E0 ; 3.2557E0
5.5597E0 ; 3.0514E0 ; 3.2557E0
5.5591E0 ; 3.0534E0 ; 3.2557E0
5.5586E0 ; 3.0554E0 ; 3.2557E0
5.558E0 ; 3.0574E0 ; 3.2557E0
5.5575E0 ; 3.0593E0 ; 3.2557E0
5.5569E0 ; 3.0613E0 ; 3.2557E0
5.5564E0 ; 3.0632E0 ; 3.2557E0
5.5558E0 ; 3.0651E0 ; 3.2557E0
5.5553E0 ; 3.067E0 ; 3.2557E0
5.5547E0 ; 3.0689E0 ; 3.2557E0
5.5541E0 ; 3.0708E0 ; 3.2557E0
5.5536E0 ; 3.0726E0 ; 3.2557E0
5.553E0 ; 3.0745E0 ; 3.2557E0
5.5524E0 ; 3.0763E0 ; 3.2557E0
5.5519E0 ; 3.0781E0 ; 3.2557E0
5.5513E0 ; 3.0799E0 ; 3.2557E0
5.5507E0 ; 3.0817E0 ; 3.2557E0
5.5501E0 ; 3.0835E0 ; 3.2557E0
